[11-10-2021 22:37:21] >> DELETED ./log.txt File => Success     > null = 86:31 => file:///home/pi/terrarium/backend/data-manage.mjs

[11-10-2021 22:37:21] Terrarium Server Restarted
Initialization Complete
     > null = 415:1 => file:///home/pi/terrarium/terrarium.mjs

-> Email Sent Successfully
[11-10-2021 22:38:05] [#2] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-10-2021 22:38:17] [#1] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-10-2021 22:42:44] MEMORY REPORTING :: Usage-5m: 408.734375 | Total Memory-5m: 923.20703125 | Load-5m: 0.16 | Total Load-5m: 0.0200,0.1600,0.0900 | Time: 307.516254911

[11-10-2021 22:47:44] MEMORY REPORTING :: Usage-5m: 407.96484375 | Total Memory-5m: 923.20703125 | Load-5m: 0.08 | Total Load-5m: 0.1000,0.0800,0.0700 | Time: 607.514113886

[11-10-2021 22:52:44] MEMORY REPORTING :: Usage-5m: 406.91796875 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.1500,0.0600,0.0600 | Time: 907.513998079

[11-10-2021 22:57:44] MEMORY REPORTING :: Usage-5m: 406.6796875 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0000,0.0100,0.0300 | Time: 1207.514199107

[11-10-2021 23:02:44] MEMORY REPORTING :: Usage-5m: 406.1484375 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.1000,0.0300,0.0100 | Time: 1507.5139808

[11-10-2021 23:07:44] MEMORY REPORTING :: Usage-5m: 405.125 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 1807.514132903

[11-10-2021 23:12:44] MEMORY REPORTING :: Usage-5m: 404.89453125 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 2107.51414517

[11-10-2021 23:17:44] MEMORY REPORTING :: Usage-5m: 363.2421875 | Total Memory-5m: 923.20703125 | Load-5m: 0.13 | Total Load-5m: 0.1000,0.1300,0.0500 | Time: 2407.514149289

